COCINA_ELECTRICA,LAVANDERIA,AIREACONDICIONADO,PCT_USODIA,PCT_USONOCHE,ENMORA,LLAMADASACALLCENTER,REGION,ANTIGUEDAD_CLIENTE,USUARIO_CANAL_DIGITAL,PUNTO_PAGO
48,80,41,0.73,0.27,0,1,2,49,0,2
54,75,26,0.94,0.06,0,1,2,24,0,3
52,80,32,0.74,0.26,0,1,1,29,0,3
39,51,35,0.73,0.27,0,1,1,42,0,2
48,80,41,0.73,0.27,0,1,2,49,0,2
32,75,34,0.11,0.89,0,3,2,42,0,1
27,105,12,0.12,0.88,0,0,2,53,0,1
36,74,32,0.75,0.25,0,1,1,53,0,3
33,98,14,0.72,0.28,0,0,1,24,1,3
51,54,43,0.71,0.29,0,1,3,55,1,4
33,101,11,0.74,0.26,0,1,2,55,0,1
60,47,54,0.85,0.15,0,1,1,24,0,1
45,61,40,0.94,0.06,0,1,2,27,0,1
33,65,25,0.8,0.2,0,2,1,57,0,3
31,102,14,0.75,0.25,0,1,2,40,0,4
42,73,42,0.79,0.21,0,0,1,40,1,2
46,80,22,0.74,0.26,0,0,2,58,1,1
49,52,33,0.88,0.12,0,1,1,29,1,3
25,97,9,0.12,0.88,0,0,2,40,0,1
62,59,45,0.19,0.81,0,3,2,51,0,3
35,74,28,0.74,0.26,0,0,3,49,0,1
44,46,34,0.94,0.06,0,1,1,27,0,1
29,98,15,0.73,0.27,0,0,1,29,0,3
22,36,13,0.28,0.72,0,3,1,55,0,1
46,49,31,0.89,0.11,0,1,1,37,1,4
37,76,29,0.17,0.83,1,3,2,37,0,3
54,59,28,0.94,0.06,0,1,1,39,1,3
48,51,41,0.86,0.14,0,2,1,36,0,1
44,47,45,0.86,0.14,0,1,3,38,0,3
29,98,15,0.73,0.27,0,0,1,29,0,3
42,49,30,0.76,0.24,0,2,3,46,0,1
57,51,40,0.93,0.07,0,1,1,23,0,2
19,35,14,0.25,0.75,1,2,2,43,0,1
30,103,13,0.19,0.81,0,1,2,34,0,1
42,78,54,0.73,0.27,0,0,1,43,0,1
54,77,47,0.71,0.29,0,1,1,52,0,1
46,56,43,0.7,0.3,0,1,1,41,1,2
48,60,32,0.77,0.23,0,2,2,45,0,3
42,49,40,0.9,0.1,0,1,1,29,0,3
39,62,41,0.93,0.07,0,1,3,26,0,1
