"cocina" "lavanderia" "aireacondicionado" "total" "pct_usodia" "pct_usonoche" "antiguedad" "mora" "llamadas0" "llamadas1" "llamadas2" "llamadas3" "Region1" "Region2" "Region3" "usaapp" "puntopago" "kmm$cluster"
48 80 41 169 0.73 0.27 49 0 0 1 0 0 0 1 0 0 2 1
54 75 26 155 0.94 0.06 24 0 0 1 0 0 0 1 0 0 3 1
52 80 32 164 0.74 0.26 29 0 0 1 0 0 1 0 0 0 3 1
39 51 35 125 0.73 0.27 42 0 0 1 0 0 1 0 0 0 2 1
48 80 41 169 0.73 0.27 49 0 0 1 0 0 0 1 0 0 2 1
32 75 34 141 0.11 0.89 42 0 0 0 0 1 0 1 0 0 1 3
27 105 12 144 0.12 0.88 53 0 1 0 0 0 0 1 0 0 1 2
36 74 32 142 0.75 0.25 53 0 0 1 0 0 1 0 0 0 3 1
33 98 14 145 0.72 0.28 24 0 1 0 0 0 1 0 0 1 3 2
51 54 43 148 0.71 0.29 55 0 0 1 0 0 0 0 1 1 4 1
33 101 11 145 0.74 0.26 55 0 0 1 0 0 0 1 0 0 1 2
60 47 54 161 0.85 0.15 24 0 0 1 0 0 1 0 0 0 1 1
45 61 40 146 0.94 0.06 27 0 0 1 0 0 0 1 0 0 1 1
33 65 25 123 0.8 0.2 57 0 0 0 1 0 1 0 0 0 3 4
31 102 14 147 0.75 0.25 40 0 0 1 0 0 0 1 0 0 4 2
42 73 42 157 0.79 0.21 40 0 1 0 0 0 1 0 0 1 2 2
46 80 22 148 0.74 0.26 58 0 1 0 0 0 0 1 0 1 1 2
49 52 33 134 0.88 0.12 29 0 0 1 0 0 1 0 0 1 3 1
25 97 9 131 0.12 0.88 40 0 1 0 0 0 0 1 0 0 1 2
62 59 45 166 0.19 0.81 51 0 0 0 0 1 0 1 0 0 3 4
35 74 28 137 0.74 0.26 49 0 1 0 0 0 0 0 1 0 1 2
44 46 34 124 0.94 0.06 27 0 0 1 0 0 1 0 0 0 1 1
29 98 15 142 0.73 0.27 29 0 1 0 0 0 1 0 0 0 3 2
22 36 13 71 0.28 0.72 55 0 0 0 0 1 1 0 0 0 1 3
46 49 31 126 0.89 0.11 37 0 0 1 0 0 1 0 0 1 4 1
37 76 29 142 0.17 0.83 37 1 0 0 0 1 0 1 0 0 3 3
54 59 28 141 0.94 0.06 39 0 0 1 0 0 1 0 0 1 3 1
48 51 41 140 0.86 0.14 36 0 0 0 1 0 1 0 0 0 1 4
44 47 45 136 0.86 0.14 38 0 0 1 0 0 0 0 1 0 3 1
29 98 15 142 0.73 0.27 29 0 1 0 0 0 1 0 0 0 3 2
42 49 30 121 0.76 0.24 46 0 0 0 1 0 0 0 1 0 1 4
57 51 40 148 0.93 0.07 23 0 0 1 0 0 1 0 0 0 2 1
19 35 14 68 0.25 0.75 43 1 0 0 1 0 0 1 0 0 1 3
30 103 13 146 0.19 0.81 34 0 0 1 0 0 0 1 0 0 1 2
42 78 54 174 0.73 0.27 43 0 1 0 0 0 1 0 0 0 1 2
54 77 47 178 0.71 0.29 52 0 0 1 0 0 1 0 0 0 1 1
46 56 43 145 0.7 0.3 41 0 0 1 0 0 1 0 0 1 2 1
